chr1	0	12500000
chr1	12500000	25000000
chr1	25000000	50000000
chr1	50000000	75000000
chr1	75000000	100000000
chr1	100000000	200000000
chr1	200000000	248956422
chr2	0	100000000
chr2	100000000	200000000
chr2	200000000	242193529
chr3	0	100000000
chr3	100000000	198295559
chr4	0	100000000
chr4	100000000	190214555
chr5	0	100000000
chr5	100000000	181538259
chr6	0	100000000
chr6	100000000	170805979
chr7	0	100000000
chr7	100000000	159345973
chr8	0	100000000
chr8	100000000	145138636
chr9	0	100000000
chr9	100000000	138394717
chr10	0	100000000
chr10	100000000	133797422
chr11	0	100000000
chr11	100000000	135086622
chr12	0	100000000
chr12	100000000	133275309
chr13	0	100000000
chr13	100000000	114364328
chr14	0	100000000
chr14	100000000	107043718
chr15	0	100000000
chr15	100000000	101991189
chr16	0	90338345
chr17	0	83257441
chr18	0	80373285
chr19	0	58617616
chr20	0	64444167
chr21	0	46709983
chr22	0	50818468
